Date Timed DHT22, Temperature DHT22
2020-08-21 19:16:27,32.0
2020-08-21 19:06:54,31.7
2020-08-21 18:56:32,31.4
2020-08-21 18:46:48,30.2
2020-08-21 18:36:22,30.9
2020-08-21 18:26:46,31.2
2020-08-21 18:16:22,31.2
2020-08-21 18:06:50,31.5
2020-08-21 17:56:22,31.4
2020-08-21 17:46:22,31.5
2020-08-21 17:36:23,32.0
2020-08-21 17:27:10,31.1
2020-08-21 17:16:22,30.9
2020-08-21 17:06:22,31.3
2020-08-21 17:01:27,31.0
2020-08-21 16:51:51,30.9
2020-08-21 16:45:37,31.3
2020-08-21 16:35:38,31.0
2020-08-21 16:25:36,30.2
2020-08-21 16:15:36,29.6
2020-08-21 16:05:36,30.4
2020-08-21 15:55:38,29.9
2020-08-21 15:46:24,29.8
2020-08-21 15:35:36,30.3
2020-08-21 15:25:37,30.0
2020-08-21 15:16:24,31.0
2020-08-21 15:05:36,30.0
2020-08-21 14:55:39,29.9
2020-08-21 14:45:37,30.8
2020-08-21 14:43:56,31.0
2020-08-21 14:33:54,30.7
2020-08-21 14:21:31,30.8
2020-08-21 14:11:31,30.6
2020-08-21 14:01:32,30.9
2020-08-21 14:00:42,31.0
2020-08-21 13:49:06,30.6
2020-08-21 13:39:05,31.6
2020-08-21 13:29:56,29.9
2020-08-21 13:19:29,29.7
2020-08-21 13:09:28,30.2
2020-08-21 12:59:05,30.0
2020-08-21 12:48:19,29.8
2020-08-21 12:38:21,29.8
2020-08-21 12:29:08,29.8
2020-08-21 12:18:19,29.6
2020-08-21 12:08:21,29.5
2020-08-21 11:58:44,28.8
2020-08-21 11:48:19,30.1
2020-08-21 11:38:44,30.2
2020-08-21 11:33:54,30.2
2020-08-21 11:26:25,30.2
2020-08-21 11:16:48,31.4
2020-08-21 11:06:25,32.6
2020-08-21 10:57:39,32.4
2020-08-21 10:46:48,31.7
2020-08-21 10:36:24,32.6
2020-08-21 10:31:32,33.1
2020-08-21 10:22:44,32.4
2020-08-21 10:19:25,32.2
2020-08-21 10:09:25,32.0
2020-08-21 09:59:25,31.5
2020-08-21 09:49:25,31.3
2020-08-21 09:46:36,31.2
2020-08-21 09:36:37,31.0
2020-08-21 09:27:01,31.3
2020-08-21 09:16:39,31.5
2020-08-21 09:06:37,31.1
2020-08-21 08:56:39,31.2
2020-08-21 08:47:01,30.8
2020-08-21 08:37:01,30.9
2020-08-21 08:26:37,30.8
2020-08-21 08:18:41,30.8
2020-08-21 08:08:55,30.5
2020-08-21 07:59:19,29.8
2020-08-21 07:49:43,29.7
2020-08-21 07:39:21,29.0
2020-08-21 07:28:55,29.0
2020-08-21 07:28:24,28.8
2020-08-21 07:19:12,29.4
2020-08-21 07:09:12,29.2
2020-08-21 06:58:25,28.8
2020-08-21 06:48:25,28.5
2020-08-21 06:38:24,28.3
2020-08-21 06:28:48,27.9
2020-08-21 06:18:26,27.5
2020-08-21 06:17:55,27.6
2020-08-21 06:07:56,27.9
2020-08-21 05:57:54,27.3
2020-08-21 05:48:19,27.4
2020-08-21 05:37:54,28.0
2020-08-21 05:37:28,28.0
2020-08-21 05:27:52,28.4
2020-08-21 05:17:52,28.8
2020-08-21 05:07:28,28.2
2020-08-21 05:06:51,28.2
2020-08-21 04:56:50,28.4
2020-08-21 04:46:52,27.6
2020-08-21 04:37:15,28.0
2020-08-21 04:26:49,28.7
2020-08-21 04:16:50,28.1
2020-08-21 04:06:50,28.2
2020-08-21 03:56:52,28.5
2020-08-21 03:50:47,28.2
2020-08-21 03:40:47,27.3
2020-08-21 03:30:47,27.2
2020-08-21 03:20:47,27.4
2020-08-21 03:10:48,27.3
2020-08-21 03:00:47,26.8
2020-08-21 02:51:14,27.1
2020-08-21 02:40:47,27.4
2020-08-21 02:30:50,27.2
2020-08-21 02:20:50,28.1
2020-08-21 02:11:38,27.8
2020-08-21 02:00:48,28.5
2020-08-21 01:50:47,28.8
2020-08-21 01:41:59,29.7
2020-08-21 01:31:35,29.4
2020-08-21 01:22:25,29.0
2020-08-21 01:10:47,28.3
2020-08-21 01:01:12,28.0
2020-08-21 00:50:48,28.0
2020-08-21 00:40:47,28.1
2020-08-21 00:30:50,28.3
2020-08-21 00:25:58,28.1
2020-08-21 00:15:59,28.0
2020-08-21 00:06:01,28.5
2020-08-20 23:55:58,28.1
2020-08-20 23:45:59,28.5
2020-08-20 23:36:12,28.2
2020-08-20 23:26:11,28.2
2020-08-20 23:18:58,28.4
2020-08-20 23:08:35,28.5
2020-08-20 22:58:59,30.3
2020-08-20 22:48:35,30.2
2020-08-20 22:46:45,30.4
2020-08-20 22:35:57,30.3
2020-08-20 22:25:33,30.3
2020-08-20 22:15:57,30.0
2020-08-20 22:05:35,29.4
2020-08-20 21:57:35,29.4
2020-08-20 21:46:22,29.6
2020-08-20 21:35:36,30.2
2020-08-20 21:25:34,29.9
2020-08-20 21:16:21,29.9
2020-08-20 21:05:57,29.8
2020-08-20 20:55:34,29.4
2020-08-20 20:45:33,29.3
2020-08-20 20:35:09,27.4
2020-08-20 20:25:57,27.8
2020-08-20 20:15:37,28.0
2020-08-20 20:05:34,27.8
2020-08-20 19:55:09,28.8
2020-08-20 19:45:34,27.9
2020-08-20 19:36:00,28.2
2020-08-20 19:25:58,29.5
2020-08-20 19:15:09,29.8
2020-08-20 19:05:10,29.4
2020-08-20 18:55:33,30.2
2020-08-20 18:45:12,30.1
2020-08-20 18:36:33,29.6
2020-08-20 18:26:33,29.0
2020-08-20 18:16:58,29.3
2020-08-20 18:06:57,29.2
2020-08-20 17:56:57,29.2
2020-08-20 17:46:35,29.5
2020-08-20 17:36:34,29.2
2020-08-20 17:26:33,29.0
2020-08-20 17:17:48,28.8
2020-08-20 17:14:04,29.0
2020-08-20 17:03:42,29.7
2020-08-20 16:53:40,28.3
2020-08-20 16:44:06,28.6
2020-08-20 16:36:06,28.6
2020-08-20 16:26:27,28.9
2020-08-20 16:16:51,28.9
2020-08-20 16:06:03,29.1
2020-08-20 15:56:03,28.3
2020-08-20 15:46:03,28.0
2020-08-20 15:36:30,28.5
2020-08-20 15:26:29,28.1
2020-08-20 15:16:04,28.5
2020-08-20 15:06:27,28.5
2020-08-20 14:57:16,28.3
2020-08-20 14:46:06,28.8
2020-08-20 14:36:29,28.0
2020-08-20 14:26:04,28.7
2020-08-20 14:16:28,28.5
2020-08-20 14:06:27,28.6
2020-08-20 14:04:00,28.7
2020-08-20 13:59:46,28.7
2020-08-20 13:50:34,28.7
2020-08-20 13:40:10,28.7
2020-08-20 13:29:46,28.8
2020-08-20 13:21:34,29.1
2020-08-20 13:16:39,29.2
2020-08-20 13:07:03,28.7
2020-08-20 12:57:02,28.8
2020-08-20 12:46:38,29.2
2020-08-20 12:36:38,29.5
2020-08-20 12:26:38,30.2
2020-08-20 12:16:38,30.2
2020-08-20 12:06:40,30.3
2020-08-20 11:57:04,30.1
2020-08-20 11:46:43,29.6
2020-08-20 11:36:18,29.5
2020-08-20 11:26:17,29.0
2020-08-20 11:16:17,29.2
2020-08-20 11:06:41,29.6
2020-08-20 10:56:17,29.9
2020-08-20 10:55:43,29.9
2020-08-20 10:44:56,30.9
2020-08-20 10:35:19,31.4
2020-08-20 10:34:29,31.5
2020-08-20 10:24:30,31.6
2020-08-20 10:14:52,31.2
2020-08-20 10:06:06,30.5
